CustomerId,Exited
15723217,0
15733111,0
15610727,0
15792720,0
15723153,0
15802823,0
15756118,0
15684934,0
15776936,1
15729087,0
15786463,1
15717498,0
15718406,0
15799468,0
15626383,0
15597385,0
15570271,0
15690330,0
15680611,0
15810227,0
15807194,0
15712199,0
15694995,0
15723400,0
15654772,1
15574743,0
15807593,0
15686718,0
15695299,0
15722701,0
15799635,1
15742323,0
15658435,0
15586029,0
15772337,1
15807555,0
15603378,0
15792862,1
15657349,1
15777614,0
15653952,0
15724336,0
15689594,0
15801920,0
15653347,1
15749951,1
15648178,0
15738662,0
15640855,0
15584288,0
15760988,0
15569624,0
15597949,1
15604551,0
15617476,0
15645323,1
15793311,1
15764153,0
15802560,0
15728608,0
15770474,1
15724444,0
15753110,1
15711521,0
15632816,0
15693637,0
15725509,0
15684645,0
15692235,0
15777459,1
15656937,0
15610643,0
15777315,0
15611058,1
15630413,0
15635942,1
15648858,0
15810732,0
15705448,1
15730488,0
15620443,0
15741078,0
15753161,0
15711396,0
15593499,1
15579189,0
15743545,0
15791316,0
15608246,1
15676526,0
15813911,0
15630195,0
15736250,1
15671334,0
15574169,0
15718839,0
15762331,0
15606901,0
15713559,0
15768881,0
15743075,0
15660980,0
15810942,0
15728362,0
15683339,1
15685476,0
15663650,1
15617434,0
15622470,0
15703682,0
15727391,0
15711062,0
15567339,0
15760662,0
15605737,0
15692977,0
15672082,0
15600280,0
15804052,0
15576065,1
15796838,0
15693526,0
15748595,0
15679029,0
15753639,0
15604138,1
15666095,1
15643487,1
15764033,1
15747288,1
15790599,0
15737705,0
15737194,0
15726776,0
15804357,0
15664432,1
15688984,0
15583026,0
15771668,1
15779904,0
15784323,0
15756277,0
15663312,0
15793197,0
15731463,0
15621768,0
15691323,0
15781326,0
15595640,0
15814331,0
15602030,0
15747974,0
15611315,0
15636977,1
15690337,0
15680666,0
15679551,1
15778915,0
15568849,0
15747762,0
15753679,0
15750049,0
15606097,1
15802368,0
15767488,0
15669946,0
15612103,1
15645353,0
15650018,0
15659002,0
15616028,0
15660475,0
15652615,0
15653572,1
15628059,0
15703413,0
15610433,0
15770548,0
15645637,0
15590888,0
15568326,0
15655368,0
15665579,0
15676091,0
15716984,0
15715078,0
15569452,0
15628863,0
15778192,0
15793723,0
15798943,0
15764708,0
15791040,0
15631512,0
15640106,0
15710315,1
15771535,0
15611947,0
15670266,0
15609083,1
15567923,0
15788183,0
15735782,0
15774401,1
15737971,0
15758750,0
15611767,1
15643770,1
15744717,0
15570681,0
15792650,1
15605531,0
15605339,0
15672216,0
15812893,1
